transcript,audio_path
abee,./Flask/content/dataset/abee/abee_abang.wav
abee,./Flask/content/dataset/abee/abee_andra.wav
abee,./Flask/content/dataset/abee/abee_apid.wav
abee,./Flask/content/dataset/abee/abee_ari.wav
abee,./Flask/content/dataset/abee/abee_bg_yasir.wav
abee,./Flask/content/dataset/abee/abee_bulek.wav
abee,./Flask/content/dataset/abee/abee_c_jal.wav
abee,./Flask/content/dataset/abee/abee_daudi.wav
abee,./Flask/content/dataset/abee/abee_dek_wah.wav
abee,./Flask/content/dataset/abee/abee_dinda.wav
abee,./Flask/content/dataset/abee/abee_faiz.wav
abee,./Flask/content/dataset/abee/abee_imam.wav
abee,./Flask/content/dataset/abee/abee_jahrol.wav
abee,./Flask/content/dataset/abee/abee_jessie.wav
abee,./Flask/content/dataset/abee/abee_jol.wav
abee,./Flask/content/dataset/abee/abee_kakak.wav
abee,./Flask/content/dataset/abee/abee_mamak.wav
abee,./Flask/content/dataset/abee/abee_muharis.wav
abee,./Flask/content/dataset/abee/abee_oja.wav
abee,./Flask/content/dataset/abee/abee_oom.wav
abee,./Flask/content/dataset/abee/abee_rafiq.wav
abee,./Flask/content/dataset/abee/abee_reja.wav
abee,./Flask/content/dataset/abee/abee_syifa.wav
abee,./Flask/content/dataset/abee/abee_tajrit.wav
abee,./Flask/content/dataset/abee/abee_te.wav
angen,./Flask/content/dataset/angen/angen_abang.wav
angen,./Flask/content/dataset/angen/angen_andra.wav
angen,./Flask/content/dataset/angen/angen_apid.wav
angen,./Flask/content/dataset/angen/angen_ari.wav
angen,./Flask/content/dataset/angen/angen_bg_yasir.wav
angen,./Flask/content/dataset/angen/angen_bulek.wav
angen,./Flask/content/dataset/angen/angen_c_jal.wav
angen,./Flask/content/dataset/angen/angen_daudi.wav
angen,./Flask/content/dataset/angen/angen_dek_wah.wav
angen,./Flask/content/dataset/angen/angen_dinda.wav
angen,./Flask/content/dataset/angen/angen_faiz.wav
angen,./Flask/content/dataset/angen/angen_imam.wav
angen,./Flask/content/dataset/angen/angen_jahrol.wav
angen,./Flask/content/dataset/angen/angen_jessie.wav
angen,./Flask/content/dataset/angen/angen_jol.wav
angen,./Flask/content/dataset/angen/angen_kakak.wav
angen,./Flask/content/dataset/angen/angen_mamak.wav
angen,./Flask/content/dataset/angen/angen_muharis.wav
angen,./Flask/content/dataset/angen/angen_oja.wav
angen,./Flask/content/dataset/angen/angen_oom.wav
angen,./Flask/content/dataset/angen/angen_rafiq.wav
angen,./Flask/content/dataset/angen/angen_reja.wav
angen,./Flask/content/dataset/angen/angen_syifa.wav
angen,./Flask/content/dataset/angen/angen_tajrit.wav
angen,./Flask/content/dataset/angen/angen_te.wav
apong,./Flask/content/dataset/apong/apong_abang.wav
apong,./Flask/content/dataset/apong/apong_andra.wav
apong,./Flask/content/dataset/apong/apong_apid.wav
apong,./Flask/content/dataset/apong/apong_ari.wav
apong,./Flask/content/dataset/apong/apong_bg_yasir.wav
apong,./Flask/content/dataset/apong/apong_bulek.wav
apong,./Flask/content/dataset/apong/apong_c_jal.wav
apong,./Flask/content/dataset/apong/apong_daudi.wav
apong,./Flask/content/dataset/apong/apong_dek_wah.wav
apong,./Flask/content/dataset/apong/apong_dinda.wav
apong,./Flask/content/dataset/apong/apong_faiz.wav
apong,./Flask/content/dataset/apong/apong_imam.wav
apong,./Flask/content/dataset/apong/apong_jahrol.wav
